FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-11ZU8-0001-SM-5DWTC	GTEX-11ZU8-0001-SM-5DWTC	-0.0216	-0.0063	0.0565	0.1555	0.0812	0.0251	0.0193	-0.0376	-0.0022	0.0285	-0.0124	0.0027	0.0482	-0.0426	-0.0468	-0.0295	0.0352	0.0692	0.0285	0.0439
GTEX-11ZUS-0003-SM-5DWTA	GTEX-11ZUS-0003-SM-5DWTA	-0.0207	0.0032	-0.0309	-0.0133	-0.0151	-0.0153	0.0185	0.0246	0.0209	0.0042	0.0154	0.0379	0.0162	0.0528	0.0356	0.0220	0.0132	-0.0540	-0.0044	-0.0337
GTEX-11ZVC-0004-SM-5DWTH	GTEX-11ZVC-0004-SM-5DWTH	-0.0203	0.0030	0.0128	0.1657	0.0570	0.0202	0.0356	-0.0236	0.0319	0.0153	0.0022	-0.0025	-0.0423	0.0110	-0.0392	-0.0256	-0.0275	0.0125	0.0280	0.0317
GTEX-12KS4-0003-SM-5DWRE	GTEX-12KS4-0003-SM-5DWRE	-0.0159	0.0016	-0.0938	-0.0720	-0.0033	-0.0084	0.0148	-0.0104	-0.0107	-0.0159	-0.0242	0.0024	-0.0397	0.0463	-0.0337	0.0141	0.0354	0.0593	-0.0020	0.0045
GTEX-12WSA-0001-SM-5DWRG	GTEX-12WSA-0001-SM-5DWRG	-0.0219	-0.0068	0.0533	0.1355	0.0631	0.0022	0.0098	0.0017	0.0096	0.0316	-0.0521	0.0394	-0.0051	0.0184	-0.0661	-0.0192	0.0100	-0.0516	-0.0532	-0.0095
GTEX-12WSC-0001-SM-5DWRP	GTEX-12WSC-0001-SM-5DWRP	-0.0212	0.0024	0.0025	-0.0235	-0.0359	0.0209	0.0198	0.0171	-0.0363	0.0026	0.0216	-0.0364	0.0530	0.0539	-0.0080	0.0161	-0.0028	0.0200	-0.0159	-0.0158
GTEX-12WSD-0002-SM-5DWRK	GTEX-12WSD-0002-SM-5DWRK	0.1297	0.0214	-0.0052	0.0299	0.0034	-0.0491	-0.0225	0.0977	0.0073	0.0055	-0.1278	-0.1345	-0.0548	0.0429	-0.1321	-0.0238	-0.1045	-0.1055	0.0260	-0.0569
GTEX-12WSE-0002-SM-5DWRT	GTEX-12WSE-0002-SM-5DWRT	-0.0222	0.0069	0.0043	-0.0263	0.0324	0.0124	0.0231	0.0059	0.0388	0.0032	0.0179	-0.0081	-0.0242	-0.0528	-0.0136	-0.0008	-0.0563	0.0353	0.0147	-0.0326
GTEX-12WSF-0002-SM-5DWRS	GTEX-12WSF-0002-SM-5DWRS	-0.0221	0.0136	0.0200	-0.0145	-0.0197	0.0001	0.0077	-0.0348	0.0084	-0.0253	0.0637	-0.0483	-0.0192	-0.0216	-0.0287	-0.0274	-0.0404	-0.0016	0.0134	-0.0212
GTEX-12WSG-0001-SM-5DWRF	GTEX-12WSG-0001-SM-5DWRF	-0.0207	0.0055	0.0109	0.0385	-0.0162	0.0185	-0.0351	0.0163	-0.0468	0.0138	0.0095	-0.0110	-0.0026	-0.0358	0.0218	0.0260	0.0320	-0.0417	-0.0012	-0.0339
