FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-WRHU-0003-SM-3PZ7D	GTEX-WRHU-0003-SM-3PZ7D	-0.0213	0.0160	0.0215	0.0161	-0.0097	0.0070	-0.0270	0.0237	0.0170	-0.0238	-0.0264	-0.0006	0.0348	0.0046	0.0332	-0.0319	0.0059	-0.0567	0.0404	-0.0666
GTEX-WVLH-0001-SM-3PZ7K	GTEX-WVLH-0001-SM-3PZ7K	-0.0224	-0.0015	0.0154	-0.0245	0.0266	0.0210	0.0384	-0.0014	-0.0547	0.0055	-0.0101	0.0449	-0.0355	0.0039	-0.0042	0.0066	-0.0294	-0.0282	0.0025	-0.0363
GTEX-WWYW-0004-SM-3PZ7I	GTEX-WWYW-0004-SM-3PZ7I	-0.0218	-0.0010	0.0190	0.0194	0.0453	0.0276	0.0119	0.0349	0.0106	0.0130	0.0578	0.0099	-0.0158	0.0338	-0.0433	-0.0221	0.0316	0.0111	0.0143	0.0072
GTEX-WXYG-0001-SM-3PZ82	GTEX-WXYG-0001-SM-3PZ82	0.1187	0.0195	0.0043	-0.0194	-0.0035	-0.0582	-0.1375	0.2220	-0.0781	0.0192	0.0183	-0.0808	0.0713	0.0028	-0.1532	0.0040	0.1812	0.0259	0.0643	-0.1653
GTEX-WY7C-0002-SM-3PZ81	GTEX-WY7C-0002-SM-3PZ81	-0.0219	0.0047	0.0017	0.0155	0.0050	-0.0223	-0.0130	0.0186	-0.0116	-0.0022	0.0165	-0.0102	0.0326	0.0260	-0.0104	0.0563	0.0440	-0.0325	-0.0430	-0.0330
GTEX-WYBS-0126-SM-3PZ7C	GTEX-WYBS-0126-SM-3PZ7C	-0.0203	0.0014	0.0032	0.1049	0.0435	0.0160	0.0185	0.0132	-0.0286	0.0067	-0.0483	-0.0039	0.0209	-0.0028	-0.0032	-0.0446	-0.0151	0.0039	0.0292	-0.0433
GTEX-WYJK-0001-SM-3PZ7Z	GTEX-WYJK-0001-SM-3PZ7Z	-0.0219	0.0031	0.0009	-0.0432	-0.0393	0.0095	-0.0125	-0.0163	0.0163	-0.0120	-0.0335	-0.0522	-0.0465	0.0088	-0.0016	0.0430	0.0124	-0.0280	0.0251	0.0154
GTEX-WYVS-0002-SM-3PZ7R	GTEX-WYVS-0002-SM-3PZ7R	-0.0220	0.0122	0.0190	-0.0449	-0.0219	0.0045	0.0179	0.0040	0.0366	0.0069	0.0318	0.0062	-0.0243	0.0442	0.0330	0.0393	-0.0242	-0.0646	-0.0508	0.0578
GTEX-WZTO-0002-SM-3PZ84	GTEX-WZTO-0002-SM-3PZ84	-0.0174	-0.0018	-0.0696	-0.0012	-0.0021	-0.0512	0.0145	0.0452	-0.0273	0.0465	-0.0028	-0.0110	-0.0034	-0.0353	-0.0377	0.0354	0.0682	0.0629	0.0325	-0.0241
GTEX-X3Y1-0002-SM-3PZ85	GTEX-X3Y1-0002-SM-3PZ85	0.1098	0.0094	0.0220	0.0217	-0.0297	0.0098	0.0153	0.0548	-0.2875	0.0688	-0.1669	0.1833	-0.1590	0.2135	0.0026	0.0768	-0.1425	0.0482	-0.1030	-0.0047
GTEX-X4EO-0003-SM-3PZ83	GTEX-X4EO-0003-SM-3PZ83	-0.0203	0.0067	0.0187	0.0351	-0.0523	-0.0305	-0.0075	0.0207	0.0082	-0.0306	0.0066	-0.0141	0.0292	-0.0483	-0.0184	-0.0082	0.0359	-0.0019	-0.0671	-0.0057
GTEX-X4EP-0002-SM-3PZ7Y	GTEX-X4EP-0002-SM-3PZ7Y	-0.0203	0.0074	0.0218	0.0438	0.0109	-0.0056	0.0438	-0.0164	0.0239	-0.0108	0.0183	0.0023	0.0092	0.0633	-0.0068	0.0013	-0.0264	-0.0139	0.0485	-0.0018
GTEX-X4LF-0001-SM-3PZ79	GTEX-X4LF-0001-SM-3PZ79	-0.0205	0.0139	-0.0285	-0.0126	0.0435	-0.0071	0.0201	0.0101	0.0452	-0.0030	0.0322	0.0247	-0.0225	0.0213	0.0190	0.0185	-0.0383	-0.0645	-0.0255	-0.0407
GTEX-X4XX-0004-SM-3PZ7P	GTEX-X4XX-0004-SM-3PZ7P	-0.0153	-0.0097	-0.1789	0.0106	-0.0021	0.0030	0.0432	0.0024	-0.0074	0.0267	0.0179	0.0047	0.0390	-0.0055	-0.0061	-0.0074	-0.0193	0.0103	0.0128	0.0222
GTEX-X4XY-0002-SM-3PZ7Q	GTEX-X4XY-0002-SM-3PZ7Q	-0.0216	0.0058	0.0298	-0.0164	-0.0320	0.0013	0.0258	0.0213	0.0049	-0.0280	0.0124	-0.0240	0.0072	0.0435	-0.0210	-0.0365	-0.0060	-0.0280	-0.0093	0.0230
GTEX-X5EB-0001-SM-3PZ7V	GTEX-X5EB-0001-SM-3PZ7V	-0.0208	0.0146	0.0102	-0.0285	0.0047	-0.0053	0.0142	0.0090	0.0075	0.0316	-0.0241	0.0181	0.0221	0.0029	-0.0428	0.0234	-0.0050	-0.0361	0.0080	0.0001
GTEX-X8HC-0003-SM-3PZ7F	GTEX-X8HC-0003-SM-3PZ7F	-0.0220	-0.0028	0.0364	0.0258	0.0219	0.0356	0.0009	-0.0143	-0.0042	0.0366	-0.0062	0.0032	-0.0069	0.0051	0.0158	0.0379	-0.0513	0.0237	-0.0148	-0.0196
GTEX-X15G-0002-SM-3PZ7J	GTEX-X15G-0002-SM-3PZ7J	-0.0225	0.0139	0.0349	-0.0203	-0.0341	-0.0095	0.0227	0.0019	0.0121	-0.0502	0.0118	-0.0661	-0.0027	-0.0106	-0.0259	0.0083	0.0215	0.0278	-0.0382	0.0349
GTEX-X62O-0001-SM-3PZ7O	GTEX-X62O-0001-SM-3PZ7O	-0.0210	-0.0003	0.0345	0.0646	0.0283	-0.0043	-0.0031	-0.0333	0.0216	-0.0132	0.0188	0.0404	-0.0103	0.0055	-0.0089	0.0172	0.0143	-0.0272	0.0119	-0.0014
GTEX-X261-0002-SM-3PZ7E	GTEX-X261-0002-SM-3PZ7E	-0.0209	0.0012	0.0047	-0.0041	-0.0099	-0.0454	0.0113	-0.0866	0.0183	-0.0512	0.0074	0.0382	0.0065	-0.0634	-0.0249	0.0266	-0.0253	-0.0355	0.0067	0.0102
GTEX-X585-0003-SM-3PZ7U	GTEX-X585-0003-SM-3PZ7U	0.1336	0.0149	-0.0084	0.0079	-0.0688	-0.0144	0.0116	0.0071	-0.0187	0.0287	0.0375	0.0354	-0.0356	0.0714	0.0182	0.0486	0.0875	-0.0114	0.0246	-0.0474
GTEX-XAJ8-0001-SM-3PZ7B	GTEX-XAJ8-0001-SM-3PZ7B	-0.0221	0.0083	0.0239	-0.0120	0.0018	0.0130	-0.0162	0.0155	0.0103	-0.0256	-0.0281	-0.0164	0.0089	-0.0019	0.0307	-0.0047	-0.0070	0.0220	0.0283	-0.0156
GTEX-XBED-0004-SM-3PZ7G	GTEX-XBED-0004-SM-3PZ7G	-0.0207	0.0111	0.0020	-0.0345	-0.0308	-0.0216	-0.0204	-0.0314	0.0237	-0.0237	0.0010	0.0262	-0.0134	0.0079	0.0077	0.0202	0.0573	-0.0150	0.0038	-0.0046
GTEX-11DXW-0003-SM-5DWSM	GTEX-11DXW-0003-SM-5DWSM	-0.0215	0.0110	-0.0097	-0.0468	0.0055	-0.0435	0.0041	0.0456	-0.0299	0.0301	-0.0143	0.0061	-0.0434	0.0086	-0.0154	-0.0050	0.0068	0.0487	0.0068	-0.0553
GTEX-11DXX-0004-SM-5DWSD	GTEX-11DXX-0004-SM-5DWSD	-0.0218	0.0080	0.0150	-0.0061	-0.0310	-0.0239	-0.0384	0.0043	-0.0186	-0.0216	0.0056	0.0080	-0.0102	-0.0103	-0.0249	-0.0230	0.0006	-0.0277	0.0192	0.0325
GTEX-11DXY-0004-SM-5DWST	GTEX-11DXY-0004-SM-5DWST	-0.0156	-0.0021	-0.1011	0.0166	-0.0444	0.0537	-0.0240	0.0131	-0.0424	-0.0515	0.0028	0.0085	-0.0653	0.0092	-0.0148	0.0117	-0.0232	0.0541	-0.0147	-0.0207
GTEX-11DXZ-0003-SM-5DWSR	GTEX-11DXZ-0003-SM-5DWSR	0.1110	0.0047	-0.0062	-0.0131	-0.0522	0.0955	-0.0151	0.0143	0.1655	-0.0206	-0.0428	0.0696	-0.1903	-0.0662	0.1767	0.0689	0.2360	0.1336	0.0619	-0.1673
GTEX-11DYG-0004-SM-5DWSF	GTEX-11DYG-0004-SM-5DWSF	0.1161	0.0028	-0.0039	-0.0895	0.0841	-0.0696	-0.1513	-0.2257	-0.0055	0.0465	-0.0257	0.0531	-0.0472	0.1109	0.0477	-0.1073	0.1189	0.0208	0.0900	0.0063
GTEX-11DZ1-0002-SM-5DWSL	GTEX-11DZ1-0002-SM-5DWSL	-0.0214	-0.0055	0.0180	-0.0482	-0.0109	-0.0064	0.0237	0.0272	0.0053	-0.0114	0.0400	0.0050	0.0033	0.0764	0.0243	0.0061	-0.0356	0.0189	-0.0123	-0.0031
GTEX-11EI6-0004-SM-5DWSG	GTEX-11EI6-0004-SM-5DWSG	-0.0218	0.0054	0.0305	-0.0254	-0.0214	0.0017	0.0391	-0.0162	0.0265	-0.0117	0.0125	-0.0476	-0.0192	-0.0037	-0.0052	0.0186	-0.0225	-0.0169	0.0119	0.0166
GTEX-11EM3-0004-SM-5DWTY	GTEX-11EM3-0004-SM-5DWTY	-0.0206	0.0072	0.0034	-0.0411	-0.0716	-0.0343	0.0338	-0.0082	0.0121	-0.0064	-0.0409	-0.0152	-0.0124	0.0076	-0.0189	0.0055	-0.0350	-0.0180	-0.0047	0.0452
GTEX-11EMC-0004-SM-5DWTM	GTEX-11EMC-0004-SM-5DWTM	-0.0197	-0.0060	-0.0044	0.0041	-0.0044	0.0090	-0.0065	-0.0212	0.0395	-0.0035	0.0017	0.0064	-0.0182	-0.0111	-0.0308	-0.0298	0.0101	-0.0032	0.0404	0.0025
GTEX-11EQ8-0001-SM-5DWSU	GTEX-11EQ8-0001-SM-5DWSU	-0.0210	-0.0090	0.0214	0.0755	0.0781	0.0336	0.0122	-0.0166	0.0269	0.0135	0.0203	0.0364	-0.0175	-0.0138	-0.0472	-0.0290	0.0305	-0.0090	-0.0315	-0.0530
GTEX-11EQ9-0003-SM-5DWSP	GTEX-11EQ9-0003-SM-5DWSP	-0.0209	0.0020	-0.0158	0.0360	0.0138	-0.0274	-0.0822	-0.0244	0.0018	-0.0084	0.0279	0.0187	0.0011	-0.0409	0.0032	0.0021	-0.0137	0.0140	-0.0260	0.0074
GTEX-11GS4-0004-SM-5DWSQ	GTEX-11GS4-0004-SM-5DWSQ	-0.0144	-0.0029	-0.1688	0.0301	0.0092	-0.0175	-0.0099	0.0003	-0.0152	0.0073	-0.0315	0.0453	-0.0238	0.0197	-0.0638	0.0091	0.0408	-0.0456	-0.0366	0.0228
GTEX-11GSO-0003-SM-5DWSW	GTEX-11GSO-0003-SM-5DWSW	-0.0215	0.0052	-0.0053	0.0007	-0.0173	0.0185	-0.0250	-0.0169	0.0166	0.0121	-0.0157	0.0243	0.0171	-0.0489	-0.0045	0.0129	-0.0063	-0.0457	0.0308	-0.0304
GTEX-11GSP-0004-SM-5DWSV	GTEX-11GSP-0004-SM-5DWSV	-0.0218	0.0025	-0.0120	0.0386	0.0234	-0.0098	-0.0092	-0.0045	-0.0106	0.0044	0.0207	0.0201	-0.0593	0.0268	-0.0093	0.0377	-0.0131	0.0298	0.0266	0.0163
GTEX-11I78-0002-SM-5DWT9	GTEX-11I78-0002-SM-5DWT9	-0.0209	0.0121	-0.0064	-0.0400	-0.0060	-0.0128	-0.0277	0.0205	-0.0247	-0.0345	0.0160	0.0138	0.0126	-0.0020	0.0507	-0.0007	0.0022	0.0329	-0.0001	-0.0163
GTEX-11LCK-0002-SM-5DWRA	GTEX-11LCK-0002-SM-5DWRA	-0.0219	0.0119	0.0102	-0.0286	-0.0090	-0.0084	0.0085	-0.0091	0.0343	0.0010	-0.0318	-0.0256	0.0052	-0.0164	0.0202	0.0235	-0.0014	-0.0010	-0.0289	0.0100
GTEX-11NUK-0004-SM-5DWSZ	GTEX-11NUK-0004-SM-5DWSZ	-0.0206	-0.0021	0.0084	0.0023	0.0253	0.0178	-0.0032	0.0191	-0.0155	0.0085	-0.0358	-0.0178	0.0017	0.0079	-0.0205	-0.0371	0.0129	-0.0215	0.0146	-0.1059
GTEX-11NV4-0001-SM-5DWSY	GTEX-11NV4-0001-SM-5DWSY	0.1172	0.0134	-0.0069	-0.0442	0.0769	0.0018	0.0087	-0.0149	0.2299	0.0557	-0.1101	-0.0483	-0.0598	0.0203	-0.0303	0.0199	-0.1045	0.0659	-0.0045	-0.0312
GTEX-11ONC-0003-SM-5DWT5	GTEX-11ONC-0003-SM-5DWT5	-0.0208	0.0050	0.0190	-0.0579	-0.0066	-0.0062	-0.0123	-0.0190	0.0474	-0.0394	-0.0076	0.0235	-0.0447	0.0163	0.0350	0.0283	-0.0743	-0.0313	-0.0172	-0.0274
GTEX-11P7K-0002-SM-5DWTW	GTEX-11P7K-0002-SM-5DWTW	0.1244	0.0252	0.0143	0.0963	-0.1403	0.1732	0.1147	0.0075	0.1283	-0.1040	0.1191	0.0736	-0.0481	-0.0426	-0.1471	-0.0482	-0.1115	-0.0631	-0.1056	-0.0280
GTEX-11P81-0002-SM-5DWT1	GTEX-11P81-0002-SM-5DWT1	-0.0222	0.0120	0.0020	-0.0284	-0.0112	-0.0039	-0.0464	-0.0341	0.0367	-0.0291	-0.0068	-0.0245	0.0271	-0.0427	0.0314	-0.0537	-0.0356	0.0018	0.0081	-0.0077
GTEX-11P82-0003-SM-5DWRC	GTEX-11P82-0003-SM-5DWRC	-0.0203	0.0065	0.0049	-0.0251	-0.0332	-0.0326	-0.0158	0.0454	0.0133	-0.0185	0.0270	0.0438	-0.0061	-0.0036	0.0015	-0.0024	0.0227	-0.0807	-0.0330	-0.0030
GTEX-11PRG-0004-SM-5DWRB	GTEX-11PRG-0004-SM-5DWRB	0.1369	0.0079	-0.0039	0.0148	0.0692	-0.0399	0.0342	-0.1576	0.0528	0.0091	-0.0367	-0.0792	-0.0489	0.1059	0.0833	0.0412	-0.0269	0.0726	-0.0337	-0.0392
GTEX-11TT1-0001-SM-5DWT7	GTEX-11TT1-0001-SM-5DWT7	0.0243	0.0128	0.0141	-0.0321	-0.0227	-0.0030	0.0744	0.0251	0.0819	0.0306	-0.0574	-0.0173	0.0045	0.0014	-0.0703	0.0149	-0.0314	0.0531	0.0311	0.0032
