"C1"	"C2"	"C3"
"GTEX.12KS4"	-0.0159	0.0016	-0.0938
"GTEX.12WSA"	-0.0219	-0.0068	0.0533
"GTEX.12WSC"	-0.0212	0.0024	0.0025
"GTEX.12WSD"	0.1297	0.0214	-0.0052
"GTEX.12WSE"	-0.0222	0.0069	0.0043
"GTEX.12WSF"	-0.0221	0.0136	0.02
"GTEX.12WSG"	-0.0207	0.0055	0.0109
"GTEX.12WSH"	-0.021	0.0071	-0.0196
"GTEX.12WSI"	-0.0223	0.0093	0.0271
"GTEX.12WSJ"	-0.0204	0.0102	-0.0159
"GTEX.12WSK"	-0.0204	0.0023	0.0325
"GTEX.12WSL"	-0.0207	0.0115	0.0144
"GTEX.12WSM"	-0.0218	0.0028	0.0204
"GTEX.12WSN"	-0.0221	-0.0038	0.0196
"GTEX.12ZZW"	-0.0205	0.0097	-0.0138
"GTEX.12ZZX"	-0.0106	-0.1344	0.0568
"GTEX.12ZZY"	-0.0202	0.0031	0.0019
"GTEX.12ZZZ"	-0.0215	0.0044	0.0231
"GTEX.13CF2"	-0.0202	-0.0159	-0.0134
"GTEX.13CF3"	-0.0226	0.0065	0.0519
"GTEX.13CIG"	-0.0222	0.012	0.0327
"GTEX.13CZU"	-0.022	0.0115	0.0179
"GTEX.13CZV"	-0.0211	0.005	-0.0018
"GTEX.13D11"	-0.02	0.0061	0.0147
"GTEX.13FH7"	-0.0218	3e-04	-0.011
"GTEX.13FHO"	-0.0203	0.0058	-0.0108
"GTEX.13FHP"	0.1121	0.0147	0.0156
"GTEX.13FLV"	-0.0215	0.0049	-0.0185
"GTEX.13FLW"	0.1074	0.0195	0.0035
"GTEX.13FTW"	-0.0175	0.0022	-0.0958
"GTEX.13FTX"	-0.022	0.0103	-6e-04
"GTEX.13FTY"	-0.0216	0.001	-0.0046
"GTEX.13FTZ"	-0.0197	0.0028	0.0047
"GTEX.13FXS"	0.1214	0.0019	0.0088
"GTEX.13G51"	-0.0212	0.0025	-0.008
"GTEX.13IVO"	-0.0232	1e-04	0.0726
"GTEX.13JUV"	0.1161	-0.0059	0.0124
"GTEX.13JVG"	-0.0206	0.0065	0.038
"GTEX.13N1W"	-0.0207	0.0032	-0.0158
"GTEX.13N2G"	-0.021	0.0131	0.0098
"GTEX.13N11"	0.1151	0.0024	-0.0016
"GTEX.13NYB"	0.1132	0.0132	0.0099
"GTEX.13NYC"	-0.0197	2e-04	-0.068
"GTEX.13NYS"	-0.0216	0.008	0.0565
"GTEX.13NZ8"	-0.0215	1e-04	0.0263
"GTEX.13NZA"	-0.0218	0.0061	0.0394
"GTEX.13NZB"	-0.0214	0.0079	0.0154
