Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000164743.4-ENSG00000124205.14	ENSG00000164743.4	ENSG00000124205.14	-0.810808258233	0.810808258233	lasso	1	1
ENSG00000197405.6-ENSG00000187288.9	ENSG00000197405.6	ENSG00000187288.9	0.810047329616	0.810047329616	lasso	1	1
ENSG00000186603.5-ENSG00000129757.11	ENSG00000186603.5	ENSG00000129757.11	-0.809630722756	0.809630722756	lasso	1	1
ENSG00000101198.13-ENSG00000156427.7	ENSG00000101198.13	ENSG00000156427.7	-0.8061015375	0.8061015375	lasso	1	1
ENSG00000087301.7-ENSG00000278637.1	ENSG00000087301.7	ENSG00000278637.1	0.805512920113	0.805512920113	lasso	1	1
ENSG00000116032.5-ENSG00000183598.3	ENSG00000116032.5	ENSG00000183598.3	-0.802951294445	0.802951294445	lasso	1	1
ENSG00000186603.5-ENSG00000166589.11	ENSG00000186603.5	ENSG00000166589.11	-0.802150606135	0.802150606135	lasso	1	1
ENSG00000134202.9-ENSG00000156427.7	ENSG00000134202.9	ENSG00000156427.7	-0.797727945362	0.797727945362	lasso	1	1
ENSG00000187288.9-ENSG00000157514.15	ENSG00000187288.9	ENSG00000157514.15	0.788052276561	0.788052276561	lasso	1	1
ENSG00000204531.14-ENSG00000163739.4	ENSG00000204531.14	ENSG00000163739.4	-0.784669088525	0.784669088525	lasso	1	1
ENSG00000183671.11-ENSG00000152779.13	ENSG00000183671.11	ENSG00000152779.13	0.77964182703	0.77964182703	lasso	1	1
ENSG00000197405.6-ENSG00000039987.5	ENSG00000197405.6	ENSG00000039987.5	0.779140431237	0.779140431237	lasso	1	1
ENSG00000127603.22-ENSG00000146250.6	ENSG00000127603.22	ENSG00000146250.6	-0.776592447194	0.776592447194	lasso	1	1
ENSG00000181649.5-ENSG00000166689.13	ENSG00000181649.5	ENSG00000166689.13	0.774766634136	0.774766634136	lasso	1	1
ENSG00000170477.11-ENSG00000158445.7	ENSG00000170477.11	ENSG00000158445.7	0.772179932211	0.772179932211	lasso	1	1
ENSG00000183671.11-ENSG00000187288.9	ENSG00000183671.11	ENSG00000187288.9	0.771488021613	0.771488021613	lasso	1	1
ENSG00000002016.15-ENSG00000176532.3	ENSG00000002016.15	ENSG00000176532.3	-0.765433658764	0.765433658764	lasso	1	1
ENSG00000183671.11-ENSG00000185432.11	ENSG00000183671.11	ENSG00000185432.11	0.758468334086	0.758468334086	lasso	1	1
ENSG00000131018.21-ENSG00000151012.12	ENSG00000131018.21	ENSG00000151012.12	-0.754757019515	0.754757019515	lasso	1	1
ENSG00000197405.6-ENSG00000124205.14	ENSG00000197405.6	ENSG00000124205.14	0.751478618552	0.751478618552	lasso	1	1
ENSG00000067798.12-ENSG00000152779.13	ENSG00000067798.12	ENSG00000152779.13	0.749736536415	0.749736536415	lasso	1	1
ENSG00000129757.11-ENSG00000135094.9	ENSG00000129757.11	ENSG00000135094.9	-0.747346372815	0.747346372815	lasso	1	1
ENSG00000129757.11-ENSG00000181634.7	ENSG00000129757.11	ENSG00000181634.7	0.74601377089	0.74601377089	lasso	1	1
ENSG00000134830.5-ENSG00000135094.9	ENSG00000134830.5	ENSG00000135094.9	0.743858966127	0.743858966127	lasso	1	1
