Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000137463.4-ENSG00000188293.5	ENSG00000137463.4	ENSG00000188293.5	lasso	2.0				0.385314082299	0.385314082299	2.0
ENSG00000178150.7-ENSG00000211448.10	ENSG00000178150.7	ENSG00000211448.10	lasso	2.0				0.384044788413	0.384044788413	2.0
ENSG00000167772.10-ENSG00000205420.9	ENSG00000167772.10	ENSG00000205420.9	lasso	2.0				0.382546482451	0.382546482451	2.0
ENSG00000007255.9-ENSG00000163283.6	ENSG00000007255.9	ENSG00000163283.6	lasso	2.0				-0.381606471607	0.381606471607	2.0
ENSG00000178150.7-ENSG00000158445.7	ENSG00000178150.7	ENSG00000158445.7	lasso	2.0				-0.370193133953	0.370193133953	2.0
ENSG00000167772.10-ENSG00000145569.5	ENSG00000167772.10	ENSG00000145569.5	lasso	2.0				0.369544630403	0.369544630403	2.0
ENSG00000167772.10-ENSG00000173262.10	ENSG00000167772.10	ENSG00000173262.10	lasso	2.0				0.365695268366	0.365695268366	2.0
ENSG00000146250.6-ENSG00000211448.10	ENSG00000146250.6	ENSG00000211448.10	lasso	2.0				-0.365120543204	0.365120543204	2.0
ENSG00000204616.9-ENSG00000185432.11	ENSG00000204616.9	ENSG00000185432.11	lasso	2.0				0.363291859651	0.363291859651	2.0
ENSG00000167772.10-ENSG00000163283.6	ENSG00000167772.10	ENSG00000163283.6	lasso	2.0				0.361243782011	0.361243782011	2.0
ENSG00000167772.10-ENSG00000168824.13	ENSG00000167772.10	ENSG00000168824.13	lasso	2.0				0.359930854024	0.359930854024	2.0
ENSG00000164442.9-ENSG00000108691.8	ENSG00000164442.9	ENSG00000108691.8	lasso	2.0				-0.359379662757	0.359379662757	2.0
ENSG00000178150.7-ENSG00000107731.11	ENSG00000178150.7	ENSG00000107731.11	lasso	2.0				-0.356016956149	0.356016956149	2.0
ENSG00000178150.7-ENSG00000152779.13	ENSG00000178150.7	ENSG00000152779.13	lasso	2.0				-0.355919906233	0.355919906233	2.0
ENSG00000181458.9-ENSG00000168824.13	ENSG00000181458.9	ENSG00000168824.13	lasso	2.0				0.353674397158	0.353674397158	2.0
ENSG00000178150.7-ENSG00000138615.5	ENSG00000178150.7	ENSG00000138615.5	lasso	2.0				-0.350477567315	0.350477567315	2.0
ENSG00000187566.4-ENSG00000129757.11	ENSG00000187566.4	ENSG00000129757.11	lasso	2.0				0.348436385424	0.348436385424	2.0
ENSG00000187566.4-ENSG00000166589.11	ENSG00000187566.4	ENSG00000166589.11	lasso	2.0				0.342564471871	0.342564471871	2.0
ENSG00000178150.7-ENSG00000129988.5	ENSG00000178150.7	ENSG00000129988.5	lasso	2.0				-0.339752972552	0.339752972552	2.0
ENSG00000181458.9-ENSG00000096060.13	ENSG00000181458.9	ENSG00000096060.13	lasso	2.0				0.338884200121	0.338884200121	2.0
ENSG00000146250.6-ENSG00000152779.13	ENSG00000146250.6	ENSG00000152779.13	lasso	2.0				0.336719528957	0.336719528957	2.0
ENSG00000167772.10-ENSG00000115112.7	ENSG00000167772.10	ENSG00000115112.7	lasso	2.0				0.331930880255	0.331930880255	2.0
ENSG00000134070.4-ENSG00000166589.11	ENSG00000134070.4	ENSG00000166589.11	lasso	2.0				0.331382564475	0.331382564475	2.0
ENSG00000187566.4-ENSG00000124205.14	ENSG00000187566.4	ENSG00000124205.14	lasso	2.0				0.33123756875	0.33123756875	2.0
ENSG00000156427.7-ENSG00000181634.7	ENSG00000156427.7	ENSG00000181634.7	lasso	2.0				0.33079039837	0.33079039837	2.0
ENSG00000278637.1-ENSG00000108551.4	ENSG00000278637.1	ENSG00000108551.4	lasso	2.0				-0.330671748445	0.330671748445	2.0
ENSG00000167772.10-ENSG00000243709.1	ENSG00000167772.10	ENSG00000243709.1	lasso	2.0				0.329820605731	0.329820605731	2.0
ENSG00000187566.4-ENSG00000115112.7	ENSG00000187566.4	ENSG00000115112.7	lasso	2.0				0.327731684105	0.327731684105	2.0
ENSG00000167772.10-ENSG00000107731.11	ENSG00000167772.10	ENSG00000107731.11	lasso	2.0				0.327456780329	0.327456780329	2.0
ENSG00000204616.9-ENSG00000120057.4	ENSG00000204616.9	ENSG00000120057.4	lasso	2.0				0.324210764133	0.324210764133	2.0
ENSG00000125657.4-ENSG00000166592.10	ENSG00000125657.4	ENSG00000166592.10	lasso	2.0				-0.323201365503	0.323201365503	2.0
ENSG00000187566.4-ENSG00000096060.13	ENSG00000187566.4	ENSG00000096060.13	lasso	2.0				0.321654879543	0.321654879543	2.0
ENSG00000167772.10-ENSG00000183671.11	ENSG00000167772.10	ENSG00000183671.11	lasso	2.0				0.321637412003	0.321637412003	2.0
ENSG00000143320.7-ENSG00000124205.14	ENSG00000143320.7	ENSG00000124205.14	lasso	2.0				0.321316725247	0.321316725247	2.0
ENSG00000156427.7-ENSG00000108691.8	ENSG00000156427.7	ENSG00000108691.8	lasso	2.0				0.319707004487	0.319707004487	2.0
ENSG00000204616.9-ENSG00000166589.11	ENSG00000204616.9	ENSG00000166589.11	lasso	2.0				0.316055302118	0.316055302118	2.0
